Recipient.Organization,ngotype,year
UNICEF National Committee/Canada,,
Honduras,,
Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V,,
Birdlife International,,
RWSSP,,
Australian Aid International,,
United Nations Observer Mission in Georgia,,
International Peace Academy,,
Nordic Demining Research Forum,,
International Development Law Organisation,,
Atlas Logistique,,
Acumet Catholic Parish,,
European Union Border Assistance Mission,,
Cyprus Red Cross,,
Irish Sri Lanka Trust Fund,,
Adam's Peak,,
Office of the Resident and Humanitarian Coordinator,,
Africa Directo,,
Custodia Franciscana,,
"Health, Development, Information and Policy Institute",,
ICIMOD,,
INETER,,
PLO DoRA,,
Young Women's Christian Association/La Strada,,
National Anti War Front,,
Kristna Freds,,
Parliamentary Forum,,
SOS-Barnbyar Sweden,,
Mali Red Cross,,
Red Cross Society of Niger,,
AVRE -Support to Victims for Emotional Recovery,,
Kinderdorf Pestalozzi,,
Conrad N. Hilton Foundation,,
International NGO Training and Research Centre,,
EPI-Center,,
Landmine Survivors Network,,
SwissCor,,
NEPCom,,
CDA Collaborative Learning Projects. Inc.,,
MEDECO,,
San Remo Institute for Humanitarian Law,,
Islamic Institute of Autism,,
Bär + Leu,,
Abundant Life Church,,
National Emergency Commission of Costa Rica,,
Center for  Civil Military Relations,,
Deutsches Komitee fur Katastrophenvorsorge e.V.,,
Green Hope,,
Venezuelan Red Cross,,
Corporacion andina de fomento,,
Organization of Petroleum Exporting Countries Fund,,
Uruguayan Red Cross,,
Consultative Group on International Agricultural Research,,
ZAF,,
Tsunami Evaluation Coalition,,
Canadian Healthcare Association,,
Ecole Polytechnique Fédérale De Lausanne,,
Associazione Italiana Amici di Raoul Follereau,,
CISANET/CSCQBE/MEJN,,
Church of Jesus Christ (Johannesburg),,
Rawa Association,,
PSR / IPPNW,,
Swiss Academy of Development,,
Instituto Colombiano de Bienestar Familial,,
Association libanaise de l'Ordre de Malte,,
Temporary International Presence in Hebron,,
Development Initiatives Access Link,,
Centre pour enfants des rues de Bel-Air,,
The Swedish Fellowship of Reconciliation,,
Rehabilitation and Research Centre for Torture Victims,,
EQUIP Liberia,,
Opération villages roumains,,
LEAD Trust,,
Holistic Management,,
Children's Relief,,
Rainbow Gateway,,
Norske Menneskerettighetsfond,,
Norsk forbund f. utv.hemmede,,
Stiftelsen Menneskeret.Huset,,
"Stavanger kommune, Sølvberget KF Bibl.og kul",,
Norske Pinsemenigheters Ytremisjon,,
Islamic African Relief Agency,,
Medicos en catastrofe (MEC),,
Education Action International,,
Catholic Church of Khartoum,,
Global Health Foundation,,
ChildFund Ireland,,
INFONOR,,
Fundacion de Beneficencia Capacitas,,
REDOG,,
Inuit Circumpolar Conference,,
Development Education Network for Liberia,,
United Nations Integrated Office in Sierra Leone,,
Alive and kicking,,
SE-SINAPRED,,
Planeta,,
Suriname,,
Voluntariado Internacional para o Desenvolvimento Africano,,
Danish Refugee Council/ICVA,,
Memorial Human Rights Centre,,
FERT,,
Suriname Red Cross,,
ESPE,,
United Missions Mission in Liberia Irish Battalion,,
I-LIFE,,
Alternative/SCF-UK,,
Nile People's Peace Conference,,
Association pour la Santé Familiale (ASF),,
Bureau des œuvres médicales diocésaines (BDOM),,
"DOCS HEAL AFRICA, Goma",,
Service Social International,,
Communauté Evangélique au Kwango (CEK),,
Federation des ONG laiques à Vocation Economique du Congo,,
"Erikshjälpen, Sweden",,
PA_05,,
Maltese Aid Agency,,
ISPED,,
European Agency for Reconstruction,,
Children Assistance Programme,,
PUMP AID,,
Proximity Designs (formerly International Development Enterprises),,
World Agroforestry Centre,,
Parliamentarians for Global Action,,
Initiative Congolaise pour la Gestion autonome des populations,,
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),,
UN Voluntary Trust Fund for Technical Cooperation,,
International Peace Building Alliance/WSP International,,
Marsh Arabs,,
Armenian Relief Society,,
Swedish Refugee Aid,,
France,,
GDPI,,
Hope for the Horn,,
Pastoralist Concern Association Ethiopia,,
Ethiopian Muslims Relief and Development Association,,
Sharaja,,
Living Waters,,
Magen David Adom,,
Arcenciel,,
Community Technology Development Trust,,
Community Development Trust,,
Glencree Centre for Peace and Reconciliation,,
Syrisk Orthodox Church Sweden,,
Landmine Action,,
Firemen without Borders,,
Deniz Feneri Association,,
Turkish Kidney Foundation,,
Istanbul International Brotherhood and Assistance Association,,
WA-UK,,
Indivduell Mànniskohjàlp - Swedish NGO,,
MIC EU Civil Protection,,
Christian Children's Fund  / Adventis Development And Relief Agency,,
Seestern e.V.,,
Norsk Fredssenter,,
Swedish Alliance Mission,,
International Maritime Organization,,
Programme for Emergency Education and Reconstruction,,
Stiftelsen Oljeberget,,
HAMOKED/CNTR DEF.OF INDIVIDUAL,,
HH-SKH,,
Bolivian Red Cross,,
Eurest Personalrestauranter AS,,
Det norske Misjonsforbund,,
Next Step AS,,
Libyan Relief Committee,,
PARTNERS,,
Strømmestiftelsen - UD-tilskudd,,
Dissimilis kult.og komp.senter,,
Cleared Ground Demining Ltd.,,
Canada International Demining Corps,,
International Agricultural Research Center,,
Planning and Development Collaborative International,,
HEALTH UNLIMITED,,
International Criminal Tribunal for Rwanda,,
asociacion para la cooperacion con el sur,,
öKO HIMAL,,
ASASE,,
Mission Austria - Päpstliche Missionswerke in österreich,,
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),,
CEMUBAC (Belgian medical NGO),,
Bureau Diocésain de Développement de Kindu (BDD/KINDU),,
GCIDS,,
Fönix Special Rescue Team,,
DIA,,
United Nations Mediation Support Unit,,
Sanitary of Epidemiological Station,,
United Nations Mine Action Coordination Center (DRC),,
Ministry of Rural Rehabilitation and Development Afghanistan,,
UN Human Security Trust Fund,,
UNITEC,,
Père Jaar,,
Association pour la protection de l'enfant de la guerre,,
Association pour les enfants oubliés,,
United Nations Committee on Missing Persons,,
Association Notre Dame de Protection,,
ALDHU - Latin American Association for Human Rights,,
Regional Centre Small Arms Light Weapons,,
UN Technical Cooperative Activities,,
Nobels Fredssenter,,
Keren Hayesod,,
World Research Foundation,,
Peruvian Red Cross,,
Palestinakomiteen i Norge,,
United Nations Humanitarian Information Centre,,
National Development Organization,,
Solidarites-Belgium,,
ROKPA,,
Association Internationale des Soldats de la Paix,,
Syrian Orthodox Church,,
International Center for Integrated Mountain Development,,
"Seismic Research Unit, Univ. of West Indies",,
The Mission Covenant Church of Sweden,,
Trosgnistans Mission,,
Custodia Franciscana en Tierra Santa,,
JP Morgan Chase,,
Diocese de Hwange,,
Central Ecuatoriana de Servicios Agricolas,,
Pan American Health and Education Foundation,,
Tzu Chi Foundation,,
"Episcopal Conference, Peru",,
Chinese Community in Peru,,
Intl Humanitarian Org World View,,
Cooperation Andina de Fomento,,
Missionnaires du Divin Maître/Shabunda,,
Fondation Femmes plus,,
CRAFOD,,
PUNTO SUD,,
Centre for Safety and Development,,
ADU_04,,
"National Fishery Society, Peru",,
Santa Isabel Market,,
DWF,,
Docs Heal Africa,,
UNDG Iraq Trust Fund,,
Diplomatische Akademie Wien,,
ACT Alliance / Diakonie Austria,,
Wadi - Association for Crisis Assistance and Development Co-operation,,
BMaA,,
Gamarra's Merchant Commission,,
Andean Development Corporation,,
Luchetti,,
Enfants des rizières,,
International Partnership for Human Development,,
World Agency of Planetary Monitoring and Earthquake Risk Reduction,,
PLANAT,,
American Council for Voluntary International Action,,
AQUADEV,,
KFUK/KFUM,,
Fundacion Paz - Holandesa,,
Backus y Cervesur,,
University of Capetown,,
Human Rights Watch,,
Diocese of Padang,,
St. Josephs Care and Support Trust at Sizanani Village,,
Jairos Jiri Association,,
Horizonte Logico,,
Observatorio San Calixo,,
DF Young Inc.,,
Centro d'Informazione e Educazione allo Sviluppo,,
CFD,,
ALICORP,,
Boston Archiepiscopal Diocese,,
Lima Airport Partners,,
Peru Rail,,
Peruvian Private Enterprise Colchones Paraiso,,
Ripley,,
VETAID,,
Swedish Covenant Mission,,
Africa Muslims Agency (Johannesburg),,
African Rescue Committee,,
Humanitarian Action for Relief and Development Organisation,,
Association française pour la prévention des catastrophes naturelles,,
Mission Armenia,,
Al Zubair Charity Organisation,,
Oxford University,,
Press Trust / IDI,,
"Universidad Nacional a Distancia, Costa Rica",,
Point of Peace,,
SERVICE INT. POUR LES DROITS DE L HOMME,,
The Sisters of Charity,,
Consolata Sisters,,
Franciscan Missionary of Mary,,
The Southasia Trust,,
GRT,,
AGROSPHERE,,
ASEP,,
SERVICIO PAZ Y JUSTICIA,,
Sudan Social Development Organization,,
Coordinadora Nacional para la Reduccion de Desastres,,
RCO,,
"Central Asian Free Exchange, USA",,
"Joint Development Associates, USA",,
"Landsorganisasjonen i Norge, 3",,
Evangelical Fellowship of India Commission on Relief,,
Oxfam India,,
Project Aparajita - VHAI,,
Concern India,,
Catholic Mission,,
Taiwan Grassroots Women Workers' Centre,,
Tambanevana Children's Association,,
Instituto Cabo Verdiano de Accao Social Escolar,,
LH/ACT,,
ISP IN AFRICA,,
Blés du désert,,
Berkat,,
Civic Assistance Committee,,
Equilibre,,
Refugee Trust,,
KESI,,
International Center for Agricultural Research in Dry Areas,,
"Zodiac of North America, Inc.",,
Aviation Sans Frontieres France,,
International Foundation for Education and Self Help,,
Alnour Wal Amal Association,,
UN Mission in Sierra Leone,,
Energy Regulators Regional Association,,
Helse Bergen HF,,
STCH,,
PSO,,
JAGAN. L.A.,,
Chars Livelihoods Programme,,
ARESA,,
Estonian Public Service Academy,,
The Church of Jesus Christ of Latter-Day Saints,,
Aerzte für die Dritte Welt,,
Medical Assistance Programs International,,
DROPS,,
Public Accounts Committee,,
Christian Friends of Korea,,
Foundation Vida Peru,,
Association Luxembourg Pérou,,
Poland,,
Singapore International Foundation,,
Høyskolen i Buskerud,,
Norway,,
World Vision Hong Kong,,
Saint Lucia,,
ACT Alliance / Christian Commission for Development in Bangladesh,,
World Vision Angola,,
SIM Canada,,
CENTER FOR JUSTICE AND INT. LAW,,
De Norske Pinsemenigheters Ytremisjon,,
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",,
Citizens Network for Foreign Affairs,,
Samusocial Peru,,
Kings College London,,
Cluster Munition Coalition,,
Inglesia Morava,,
Mision para Cristo,,
Normeca AS,,
Commission d'Entraide pour les Migrants et les Refugies International,,
Agence d'Assistance aux Rapatries et Refugies au Congo,,
Norges Juristforbund,,
Samis,,
Thue & Selvaag AS,,
Abo Akademi University,,
Psykisk Helsevern Østfold HF v/ Norum,,
"Sunnaas sykehus HF, Forskningsavdelingen",,
"Steenfeldt-Foss, O. W.",,
Colombia Campaign to Ban Landmines,,
Geneva Forum,,
INST. UNIV. DE HAUTES ETUDES INT.,,
Skeiv Solidaritet,,
Evangelical Children Rehabilitation Programme,,
Italian Consortium of Solidarity,,
Alola Foundation,,
Light Force International,,
Lion Aid,,
Barneombudet,,
Humanitarian Aid Relief Trust,,
Interpeace,,
Togo,,
Women for Women International,,
GEAD,,
Koperativ Agrikol Tibiwon,,
Al Anbar Center for Humanitarian Relief,,
Todya Organization,,
Iraqi Relief Organisation,,
Al Afran Media and Culture,,
Sada Al Irak Organisation,,
Charitable Society for Caring and Rehabilitation Iraqi Children,,
Kids and Women Organization,,
Orphans and Divorced Rights Association,,
Foundation of the United for Relief and Adiding Development,,
Tammuz Organizataion for Social Development,,
Democratic Iraqi Women Group,,
Iraqi Southern Sun Association,,
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,,
New Iraqi Woman Organization,,
The Iraqi International Association for Civil Society,,
Child's Earth Society in Iraq,,
Coordination Institute Humanitarian,,
Human Right Center in Iraq,,
Humanity Brotherhood Association  for Human Rights,,
Disabled Children's Care Organization,,
Shining Future Humanitarian Organization,,
Knowledge for Iraqi Women Society,,
OCHA NGO Funds,,
Verein Lichtblick,,
"Paradigm of Consciousness Ministries, Inc.",,
University of Nebraska,,
Organization for Security & Cooperation in Europe,,
SCD-RB,,
United Methodist Church,,
BID,,
United Nations International Research and Training Institute for the Advance of Women,,
DENAL,,
Catholic Commisssion for Justice and Peace,,
Irish Centre for Human Rights,,
Children's Fund of North Ossetia,,
Key Stone,,
CARE and SC/US,,
MANNA,,
Youth Alliance in Karamoja,,
African Child Outreach Trust,,
Emergency Action Uganda,,
Visions in Action,,
International Institute of Rural Reconstruction,,
Temele Development Organisation,,
CINS -  Cooperazione Italiana Nord Sud,,
Dutch International Aid,,
Private Voluntary Organizations,,
SC/US and World Vision,,
Schools Association for Formal Education,,
Somali Education and Health Organisation,,
UN Institute,,
UN Committee on Missing Persons,,
OXFAM Hong Kong,,
Association of Chinese Evangelical Ministry Limited,,
Joint Mediation Support Team,,
Panzi Hospital,,
Afghan Reconstruction Trust Fund,,
Danish Institute for Human Rights,,
Iraqi Youth League,,
Himalayan Human Rights Monitors,,
"Institute of Human Rights Communication, Nepal",,
Rural Reconstruction Nepal,,
Cedar Fund,,
Barbados,,
Swaziland,,
Trinidad and Tobago,,
Bhutan,,
SANOFI,,
Gabon,,
Global Resource Services,,
Hedwin Corporation,,
"Pro Pac, Inc.",,
ZAYED Foundation,,
Hadia Medical,,
Miloserdie (Mercy),,
Hunger Alert,,
Fundación Apoyar,,
CHAINES,,
Sovereign Military Order of Malta,,
Home for Human Rights,,
Non Violent Peace Force Sri Lanka,,
Global Rights,,
AGEF,,
Impact Forum Norway,,
Rural Development Foundation,,
Sewa Lanka Foundation,,
SOLIDAR INGO CONSORTIUM,,
"International Pen, Writers in Prison Committee",,
Forsvarets forskningsinstitutt,,
Community Trust Fund,,
Den norske Advokatforening,,
"Landsorganisasjonen i Norge, internasj. sekret.",,
Responsive,,
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,,
The Bridge Fund,,
CARITAS TCHUMBE,,
Action pour le Développement Intégral au Kivu,,
CESADEMA,,
International Security Sector Advisory Team,,
Front Line,,
FED. I. D. Ligues/Droits l'homme,,
NUPI - Norsk utenr.pol. inst.,,
Netherlands Refugee Foundation,,
ABC Children's Aid,,
Candle Light,,
"GRONSUND, STEIN OVE",,
African Commission Human and People's Rights,,
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,,
Defense for Children International,,
The Graduate Center,,
International News Safety Institute,,
Just Associates,,
Campagne Suisse Contre les Mines Antipersonnel,,
Norfund,,
Regnskogfondet,,
Transparencia Venezuela,,
Documentation Center of  Cambodia,,
NTNU,,
Centre d'action pour le dévéloppement,,
International Fund for Agricultural Development,,
Arts for Peace,,
Volens,,
Coof Bamako,,
Center for Human Rights and Democratic Participation,,
Hopital sans Frontières,,
Solidarität Dritte Welt,,
European Children's Trust,,
Stiftung Kasipiti,,
Verein für Aufbauhilfe Tambanevana,,
Coof Ouagadougou,,
Judicial System Monitoring Programme,,
Avocats Sans Frontieres,,
Ba Futuru / For The Future,,
Cluster Munitions Conference,,
Flakstad Kommune,,
IDE Myanmar,,
China Association for NGO Cooperation,,
Comision Espanôla de Ayuda al Refugiado,,
EDM,,
Right to Live Society,,
Italian Agency for Food Aid (AGEA),,
Faire Face,,
PARD,,
GAAC,,
Thai National AIDS Foundation,,
Pentecostal Churches of Uganda,,
Linkage Trust,,
FSS,,
SAACID,,
Asal Rural Development Organization,,
ADRA/SCDO,,
Fundación Mi Sangre,,
Global Humanitarian Forum,,
Avenir pour les orphelins au Burundi,,
ERF Recipients,,
Unity and Cooperation for the Development of People,,
TrainAid International,,
Plan Timor-Leste,,
Chreso Ministries,,
BDD BUKAVU,,
Action de lutte contre la pollution des sources et des puits,,
Centre de Développement Intégral (CDI/Yakoma),,
Action pour le Bien Etre Communautaire (ABC),,
CEDI,,
Armée du salut,,
ATDL BUKAVU,,
CARITAS Mbandaka,,
EAUR,,
DIOBASS,,
MAAMS,,
APPRONA,,
ISJ,,
Missionnaires du Divin Maître,,
SADRI,,
Arche de l'Alliance,,
Pain Pour Les Déshérités (PPLD),,
CHA - Coordination of Humanitarian Assistance,,
NIRAS,,
Janus e.V,,
National Center for the Prevention of HIV/AIDS,,
Village Elders Group,,
Somali Community Literacy Center,,
Høgskolen i Oslo,,
Johor Community Development Committee for Women and Family Development,,
BOLHISPANIA,,
Kriminalomsorg.utdanningssent,,
Thirst No More,,
AMURT (Ananda Marga Universal Relief Team) (Switzerland),,
German Development Service,,
Sudan ERF,,
FGMed,,
Kadugli Interfaith Coalition,,
Klaila Organisation,,
Sudan Aid,,
Instituto de Estudios del Hambre,,
World Humanitarian Forum,,
Indesch Patenschaften,,
Sawaid Health Organization,,
China Centre for Disease Control and  Asia-Australia Mental Health,,
Belun,,
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",,
Vereniging voor Personele Samenwerking Ontwikkelings-landen,,
Lao Red Cross,,
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),,
Life International,,
CIMIR- Fred Polk,,
International Human Rights Law Group,,
STEP Afghanistan,,
World Pharmacists,,
International Medical Support Services,,
InterAct,,
Nepal ERF,,
CODEC,,
International Humanitarian Service,,
Swedish Tibetan Society for School & Culture,,
APEDE,,
The Hebrew University of Jerusalem,,
Den norske Tibet-komite,,
Stichting World Federalist Movement,,
World Conference on Religions for Peace,,
Geneva Institute for Human Rights,,
SANAR YURDATAPAN  - FEA,,
Kvekerhjelp,,
EITI - Extractive Industry Transparency Initiative,,
"Stavanger kommune, Litteraturfestivalen Kapittel06",,
Næringslivets Hovedorganisasjon,,
Nordic Institute of Asian Studies,,
Medical Relief Society,,
Norges Fredslag,,
"Kjemisk Forbund, Palestinagruppene",,
Comision de Derechos Humanos,,
Norsk tamilsk helse organisasjon,,
International Aid Hand,,
Institute for International Co-operation and Development,,
Protos,,
ILR,,
Valid Nutrition,,
RCT,,
Association Humanitaire AKAMASOA,,
Organization Catholique Pour la Promotion Humaine,,
Open Doors,,
Archdiocese of Kisumu,,
Diocese of Eldoret,,
Catholic Diocese of Nakuru,,
EP-Team,,
Catholic Diocese of Kericho,,
Togolese Red Cross,,
PIAL,,
Council of Churches,,
Lms Water Systems (France),,
PACT Myanmar,,
Casals and Associates,,
Foro Femenino Ma Maeztu,,
Religiosas Hermanas Terciarias,,
New Ireland PDC,,
IICD - International Institute for Communication and Development,,
Deutscher Entwicklungsdienst,,
Institute of Development Studies,,
Official Development Assistance,,
Human Concern International,,
Doctors Worldwide,,
CEVA Logistics,,
Distribuidora Ambiente,,
"FRAZIMA, S.A.",,
IGMAN – Acció Solidària,,
FUNDACION CIPPEC,,
AMMAN CENTER HUMAN RIGHTS STUDIES,,
FONKOZE,,
Caritas Jerusalem,,
Rabbis for Human Rights,,
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,,
CARITAS MBUJIMAYI,,
Muslim Aid and GlobalMedic,,
Committee for the Palestinian Fund,,
American Charities for Palestine,,
Palestinian Peace Coalition,,
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,,
Steps International,,
LIDEAS DRC,,
Swisspeace,,
DryLands Coordination Group,,
CICERO,,
EQUITAS - International Centre for Human Rights Education,,
World Vision Sri Lanka,,
Programme Against Malnutrition,,
UniverSud-Liège,,
Enfance Tiers Monde asbl,,
Pakistansk Velferdsorganisasjon Norge,,
International Business Leaders Forum,,
FONDATION POUR L INSTITUT,,
International Council on Human Rights Policy,,
Verdens Barn,,
Rahma Islamic Relief Fund,,
Aramex International,,
Fundación AMEPBO,,
GESA -  Gesundheitshilfe Afghanistan e.V,,
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,,
Matrix International,,
Den Norske Dommerforeningen,,
Fondasyon Kole Zepol,,
Groupement Ingenieria Estrella,,
Religiosas Franciscanas Mision,,
Religiosas de Jesus-Maria,,
Donegal Peace Centre,,
The International Barent secretary,,
Association for Promoting Social Action,,
Den norske forfatterforening,,
International Cities of Refuge Network,,
Developpement & Paix,,
LAG - Latin-Amerikagruppene i Norge,,
FOCUS Humanitarian Aid,,
Komitee Cap Anamur,,
CARE Myanmar,,
Reprise de Justesse,,
Tulane University,,
FAREM,,
Caucasus Environmental NGO Network,,
Northwest Woolen Mills,,
Radisson SAS,,
Hospital Hermanos Ameijeiras,,
Medicuba en Salud,,
Universidad Central de Las Villas,,
Sherrit,,
ShelterBox,,
Fundacion para la Libertad de Prensa,,
Handicap Atlas Logistique,,
Katachel e.V,,
NGO Fridsro,,
CMS Ireland,,
SANAD Charity Foundation,,
ACT Alliance / Lutheran Development Service,,
Catholic Development Commission,,
Development Aid from People to People,,
Full Gospel Assemblies,,
"Population Leadership Program, the University of Washington",,
Abyei Community Action for Development,,
Joint Saudi Committee for Kosovo Relief/Skopje,,
International HIV/AIDS Alliance,,
Sub-Saharan International Development Organization,,
Sharek Youth Forum,,
Palestinian Farmers' Union,,
Development of Palestinian Farmer Association - Deir Albalah,,
Agricultural and Environmental Development Society,,
Society of Physically Handicapped People,,
Ma'an,,
Presbyterian Church in Ireland,,
Natur Environments & Wildlife Society and Calcutta Foundation,,
Arno Kobamaron CBO,,
Advancement for Small Enterprise Programme,,
Rahmo Rehabilitation Organisation,,
Malilangwe Trust,,
SC - Caritas,,
Coordinating Action on Small Arms,,
Paroecia Latina S.Catharinae,,
SOHDO,,
Water for Life,,
CCD,,
Tanad Relief and Development Organisation,,
Greenshields Cowie,,
La ligue démocratique pour les droits de la femme,,
Millennium Relief and Development,,
ActionAid International Uganda,,
Soroti Catholic Diocese Integrated Development Organisation,,
Protracted Relief Programme Partners (Zimbabwe),,
Funksjonshemmedes fellesorganisasjon,,
Afghanistan Landmine Survivors' Organisation,,
Diocese of Gbarnga,,
Industri Energi (fagforbundet),,
Youth Development and Voluntary Work Association,,
Aids Foundation for Children,,
Milinda Moragoda institute for people's empowerment,,
Sewalanka,,
VREDESEILANDEN,,
Sterling Export Corp,,
Pastoralist Integrated Support Programme,,
EU Special Representative,,
Press Emblem Campaign,,
Danish Fellowship Centre,,
Social Economical Environmental Developers,,
Swiss Campaign to Ban Landmines,,
Institutt for Sosiologi og Samfunnsgeografi,,
Survivor Corps,,
Statens Forurensningstilsyn,,
Frontiers Ruwad Association,,
Norsk Vietnamesisk Senter,,
World Education,,
Centre de Recherche Santé,,
Global Alliance for Improved Nutrition,,
Guatemalan Red Cross,,
Central Social,,
Japan-ASEAN Integration Fund,,
MAPACT,,
Scandinavian Children's Mission,,
Small Arms Survey,,
MSZ,,
VAF - Verein für Afghanistan Förderung,,
Emergency Architects,,
U.N. Mission in the Central African Republic and Chad (MINURCAT),,
Fundación Antonio Restrepo Barco,,
"Comite de crise ""Nyiragongo 2002""",,
British Council,,
SPDS,,
KISIMA Peace and Development Organization,,
Child Development Foundation,,
Integrated Sustainable Livelihoods,,
Africa 2000 Network,,
VISION,,
L'Agora/Madani Dia,,
RECSASEC - Regional Centre on Small Arms and Light Weapons,,
Periodic Review  - TCG,,
Groupe de Recherche et d'Echanges Technologiques,,
Myanmar Business Coalition on AIDS,,
North-South Institute,,
Moravian Church,,
African Union Mission in Somalia,,
World Congress Against the Death Penalty,,
International Commission Against Impunity,,
Edinburgh Direct Aid,,
Chora - Organisation Tchadienne pour le Développement,,
Child Advocacy International,,
The Mosaic Religious Community,,
Auschwitz-Birkenau Foundation,,
"QED Limited, LLC",,
Red Cross of Cape Verde,,
SOS Futures Maman,,
PEGASE,,
British Airways,,
Manitoba Council for International Co-operation,,
US Fund for UNICEF,,
Share our Strength,,
Chaîne du Bonheur,,
Clinton Bush Haiti Fund,,
Aide à l'Enfance de Canada,,
Global Links,,
Feed My Starving Children,,
Operation Helping Hand of Tampa,,
USA Friends of WFP,,
GEA Society,,
MINUSTAH,,
RCN Justice Democratie,,
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",,
Kids in Distressed Situations,,
Afghan Health and Social Assistance Organisation,,
University of Miami,,
MAXIMUS,,
Cumberland Pharmaceuticals Inc,,
Yele Haiti Foundation,,
Afghanistan Solidarity Organization,,
Brother's Brother Foundation,,
Lambi Fund of Haiti,,
American Institutes for Research,,
Associates in Rural Development,,
Feed the Children,,
Fray Rene Giroux Mission,,
GRSP - Ghazni Rural Support Program - Afghanistan,,
Global H20,,
Convoy of Hope,,
Meds & Food for Kids,,
Walmart Foundation,,
ANGLO AMERICAN PLC,,
SMU - Strategic Monitoring Unit (Afghanistan),,
Mine Action Programme for Afghanistan,,
Philani Maswati Organization,,
FedEx,,
Medishare,,
Petits Frères et Soeurs,,
International Telecommunications Union,,
Wereld-missiehulp,,
ISS - Institute for Security Studies,,
IBN SINA,,
Médecins du Monde Greece,,
Reporters Sans Frontières,,
Collectif Haïti de France,,
Association Fraternite Universelle,,
International Movement ATD Fourth World,,
ISRA - Islamic Relief Agency,,
National Integrated Development Agency,,
AÏNA (Afghanistan),,
ACU/START,,
IDDEALES,,
Fuel Relief Fund,,
Pharmaciens et Aide humanitaire,,
CPR Savers and First Aid Supply,,
Association of Evangelicals in Africa,,
St. Damien Hospital,,
Haitian Women of Miami,,
International Planned Parenthood Federation Western Hemisphere Region,,
Clinton Foundation,,
Igarapé,,
Samisk Høgskole,,
Media21,,
"Interstate Products, Inc",,
CitiHope International,,
Afrique Verte Niger,,
Entrepreneurs du Monde,,
Floresta Ayiti [Plant With Purpose],,
Fondation Orient Occident,,
Global Hope Network International,,
Care Sudan,,
Marie Stopes International,,
Social Solidarity Organisation,,
Nomads Development and Environmental Conservation,,
Hakima,,
Nuba Mountains International Association for Development,,
Afghan Development Association,,
Active in Development Aid,,
Gender Education Empowerment and Leadership Organization,,
Service Health Relief Development Organization,,
SWISSAID,,
ERIC,,
Bilkent Holding,,
Universidad de Chile,,
Vamos Adelante,,
CONCORD,,
Ibon Foundation,,
Global Initiative to End All Corporal Punishment of Children,,
United Nations Office of Legal Affairs,,
Sharukhi Rehabilitation Project,,
Zafar Cooperation Organization,,
United Nations Political Office for Somalia,,
Red Crescent Society of Uzbekistan,,
Fundacion Imagina,,
Double Harvest,,
African Development and Emergency Organisation,,
Centrum voor Afrikaanse Cultuur,,
Aamin Organization,,
Techno Plan,,
Hiran Water Supply and Community Development Organisation,,
Dinah Falala & Phoebe Sandi Foundation,,
Karda Systems,,
"IRIS KIM, Inc.",,
Mubarak for Relief and Development Organization,,
Comitato Europeo per la Formazione in Agricoltura,,
Abraham's Oasis,,
Community Foundation of Broward,,
Holt International Childrens Services,,
Finca,,
"Société Générale de Solidarité, S.A.",,
Red Cross Society of the Republic of Moldova,,
International Peace and Cooperation Center (IPCC),,
Future of Orphans,,
Niños de la Tierra,,
FIDCON,,
PRIMA SYNERGIE,,
Actions pour le Developpement Integre en Mileu Rural,,
CARITAS DUNGU,,
Centre pour la Promotion de la Sante,,
Appui aux Initiatives de Bien Etre Familial,,
Latter-Day Saint Charities,,
Cchin HR Organization,,
Mercy Relief,,
Consortium of British Humanitarian Agencies,,
InfoAsAid,,
Aid for Refugees and Orphans,,
Ninôs del Cusco,,
BEPROD,,
Clowns without Borders,,
Helping Hands,,
Ngazi Moja Foundation,,
"Nuba Mountain Relief, Rehabilitation and Development Organization",,
Aragti Relief and Development Organization,,
National Commission for Human Development,,
Arab Physicians Federation,,
ICASE,,
Stockholm International Peace Research Institute,,
SKUPAJ,,
Solidar,,
Heilsarmee,,
Afghan Mobile Reconstruction Association,,
Indus Resource Centre,,
Association for Humanity Development,,
Universidad Nacional Autonoma de Honduras,,
Solidarité Syndicale - Luxembourg,,
Pakistan Association  in Dubai,,
LSQC,,
TECHO,,
ACH-UK/INTERMON,,
Bright Future Organization,,
PAIMAN Alumni Trust,,
Response International,,
Rural Development Project,,
Society for Sustainable Development,,
Strengthening Participatory Organization,,
Taraqee Foundation,,
Southern Alliance for Indigenous Resources,,
ZACF,,
Mobilink Foundation,,
Al-Khidmat Foundation,,
STC SW,,
Access Aid and Development,,
International Action Network on Small Arms,,
World Organisation Against Torture,,
