Recipient.Organization,recipientcodename,year
Islamic Institute of Autism,private individual/organisation,
Canadian Healthcare Association,private individual/organisation,
PSR / IPPNW,private individual/organisation,
Church of Jesus Christ (Johannesburg),private individual/organisation,
Opération villages roumains,private individual/organisation,
Catholic Church of Khartoum,private individual/organisation,
Communauté Evangélique au Kwango (CEK),private individual/organisation,
Living Waters,private individual/organisation,
Syrisk Orthodox Church Sweden,private individual/organisation,
Planning and Development Collaborative International,private individual/organisation,
Mission Austria - Päpstliche Missionswerke in österreich,private individual/organisation,
Fönix Special Rescue Team,private individual/organisation,
Africare,NGOs,
Regional Centre Small Arms Light Weapons,private individual/organisation,
Syrian Orthodox Church,private individual/organisation,
Diocese de Hwange,private individual/organisation,
Results Japan,other,
The Mission Covenant Church of Sweden,private individual/organisation,
Diocese of Padang,private individual/organisation,
Observatorio San Calixo,private individual/organisation,
Boston Archiepiscopal Diocese,private individual/organisation,
Mission Armenia,private individual/organisation,
Consolata Sisters,private individual/organisation,
Franciscan Missionary of Mary,private individual/organisation,
The Southasia Trust,private individual/organisation,
"Landsorganisasjonen i Norge, 3",private individual/organisation,
Evangelical Fellowship of India Commission on Relief,private individual/organisation,
Catholic Mission,private individual/organisation,
Energy Regulators Regional Association,private individual/organisation,
The Church of Jesus Christ of Latter-Day Saints,private individual/organisation,
Public Accounts Committee,private individual/organisation,
Mision para Cristo,private individual/organisation,
United Methodist Church,private individual/organisation,
"International Pen, Writers in Prison Committee",private individual/organisation,
Den norske Advokatforening,private individual/organisation,
"GRONSUND, STEIN OVE",private individual/organisation,
International News Safety Institute,private individual/organisation,
Faire Face,private individual/organisation,
Pentecostal Churches of Uganda,private individual/organisation,
Global Humanitarian Forum,private individual/organisation,
BDD BUKAVU,private individual/organisation,
Missionnaires du Divin Maître,private individual/organisation,
Arche de l'Alliance,private individual/organisation,
Chreso Ministries,private individual/organisation,
Kadugli Interfaith Coalition,private individual/organisation,
Life International,private individual/organisation,
World Pharmacists,private individual/organisation,
Swedish Tibetan Society for School & Culture,private individual/organisation,
Kvekerhjelp,private individual/organisation,
Næringslivets Hovedorganisasjon,private individual/organisation,
Open Doors,private individual/organisation,
Archdiocese of Kisumu,private individual/organisation,
Diocese of Eldoret,private individual/organisation,
Catholic Diocese of Nakuru,private individual/organisation,
Catholic Diocese of Kericho,private individual/organisation,
Council of Churches,private individual/organisation,
Rabbis for Human Rights,private individual/organisation,
Palestinian Peace Coalition,private individual/organisation,
DryLands Coordination Group,private individual/organisation,
International Business Leaders Forum,private individual/organisation,
Den Norske Dommerforeningen,private individual/organisation,
Religiosas Hermanas Terciarias,private individual/organisation,
Religiosas Franciscanas Mision,private individual/organisation,
Religiosas de Jesus-Maria,private individual/organisation,
Den norske forfatterforening,private individual/organisation,
International Cities of Refuge Network,private individual/organisation,
Full Gospel Assemblies,private individual/organisation,
Ma'an,private individual/organisation,
Funksjonshemmedes fellesorganisasjon,private individual/organisation,
Diocese of Gbarnga,private individual/organisation,
Industri Energi (fagforbundet),private individual/organisation,
Press Emblem Campaign,private individual/organisation,
"Frontiers, Ruwad Association",private individual/organisation,
RECSASEC - Regional Centre on Small Arms and Light Weapons,private individual/organisation,
Periodic Review  - TCG,private individual/organisation,
Groupe de Recherche et d'Echanges Technologiques,private individual/organisation,
Moravian Church,private individual/organisation,
The Mosaic Religious Community,private individual/organisation,
Share our Strength,private individual/organisation,
Clinton Bush Haiti Fund,private individual/organisation,
Operation Helping Hand of Tampa,private individual/organisation,
GEA Society,private individual/organisation,
Kids in Distressed Situations,private individual/organisation,
Medishare,private individual/organisation,
Petits Frères et Soeurs,private individual/organisation,
Philani Maswati Organization,private individual/organisation,
Wereld-missiehulp,private individual/organisation,
Association Fraternite Universelle,private individual/organisation,
IDDEALES,private individual/organisation,
Pharmaciens et Aide humanitaire,private individual/organisation,
Floresta Ayiti [Plant With Purpose],private individual/organisation,
Social Solidarity Organisation,private individual/organisation,
Service Health Relief Development Organization,private individual/organisation,
Hiran Water Supply and Community Development Organisation,private individual/organisation,
Niños de la Tierra,private individual/organisation,
FIDCON,private individual/organisation,
Latter-Day Saint Charities,private individual/organisation,
InfoAsAid,private individual/organisation,
ICASE,private individual/organisation,
National Commission for Human Development,private individual/organisation,
Arab Physicians Federation,private individual/organisation,
Heilsarmee,private individual/organisation,
Pakistan Association  in Dubai,private individual/organisation,
Rural Development Project,private individual/organisation,
Strengthening Participatory Organization,private individual/organisation,
ZACF,private individual/organisation,
Corporación Gestión Ecuador,private individual/organisation,
Youth Activity Organization,other,
Pema Medical Charity,private individual/organisation,
Indonesian Humanitarian Committee,private individual/organisation,
Nahdlatul Ulamu,private individual/organisation,
Instituto de Directores de Mocambique,private individual/organisation,
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,private individual/organisation,
Associação Saúde em Português,private individual/organisation,
Family Charitable Organisation,private individual/organisation,
NOOR Dubai,private individual/organisation,
"Children's Global Network, Pakistan (Guarantee) Limited",private individual/organisation,
Pak Rural Development Program,private individual/organisation,
Central Community Chest of Japan,private individual/organisation,
Second Harvest Japan,private individual/organisation,
Japan Society,private individual/organisation,
Global Forum on Migration and Development,private individual/organisation,
Sudanese Development Relief Agency,private individual/organisation,
Community Activity for Development and Relief Organization,private individual/organisation,
Hijra,private individual/organisation,
St. John Eye Hospital,private individual/organisation,
AGROCARE Community Development Association,private individual/organisation,
Rasawad Welfare Association,private individual/organisation,
Centarl Regions Livestock Professional Association,private individual/organisation,
Asian Network for Free Election,private individual/organisation,
Arab Medical Association,private individual/organisation,
Kurdish Human Rights Project,private individual/organisation,
Oslo Coalition on Freedom of Religion or Belief,private individual/organisation,
Sindh Radiant Organisation,private individual/organisation,
Health and Human Rights Info,private individual/organisation,
Vetworks Eastern Africa,private individual/organisation,
Society for Conservation and Protection of Environment,private individual/organisation,
Society Development Initiative Organization,private individual/organisation,
Partnership for Pastoralists Development Association,private individual/organisation,
Humanitarian Forum,private individual/organisation,
Peoples Democracy Platform,private individual/organisation,
Spanish Association for Humanitarian Medicine,private individual/organisation,
Consejo Comunitario Mayor de la Asociación Campesina Integral del Atrato,private individual/organisation,
World Islamic Economic Forum Foundation,private individual/organisation,
Pastoralist Consultants International,private individual/organisation,
Khuram and Sarbagh Rehabilitation Organization,private individual/organisation,
Den Norske Kirke,private individual/organisation,
Global Forum for Media Development,private individual/organisation,
Philippine Business for Social Progress,private individual/organisation,
United Rural Development Organization,private individual/organisation,
Thardeep Rural Development Programme,private individual/organisation,
BDD Kasongo,private individual/organisation,
BDC Anglican,private individual/organisation,
World Coalition Against the Death Penalty,private individual/organisation,
Karuna Taungngu,private individual/organisation,
Hôpital Saint-Joseph,private individual/organisation,
Ebola Response Multi-Partner Trust Fund,Other pooled,
Africa Solidarity Trust Fund,Other pooled,
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Other pooled,
Afghan Reconstruction Trust Fund,Other pooled,
ERF Recipients,Other pooled,
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Other pooled,
COVID-19 Humanitarian Thematic Fund,Other pooled,
World Bank,Other multi,
Global Facility for Disaster Risk Reduction,Other multi,
CARICOM Regional Development Programme,Other multi,
International Institute for Democracy and Electoral Assistance - International IDEA,Other multi,
International Criminal Court,Other multi,
Organization of American States,Other multi,
Business and Professional Women Organization,Other multi,
Desert Locust Control Organization for Eastern Africa,Other multi,
